Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],Hint[-],kint[1/s],Kint[1/s],ObsSigma[mV],magnification,t[s],I[mV],C[g/L]
0.25,0.01,1,0.397,250,0,100,0.328680217,0.10665136,0.021137676,155.2197796,6.98E-06,0,0,0
,,,,,,,,,,,,0.4602,9.67E+00,6.74966E-05
,,,,,,,,,,,,0.96,1.47E+01,0.000102606
,,,,,,,,,,,,1.4598,1.07E+01,0.000074686
,,,,,,,,,,,,1.9602,1.47E+01,0.000102606
,,,,,,,,,,,,2.46,2.03E+01,0.000141694
,,,,,,,,,,,,2.9598,1.70E+01,0.00011866
,,,,,,,,,,,,3.4602,2.23E+01,0.000155654
,,,,,,,,,,,,3.96,1.43E+01,0.000099814
,,,,,,,,,,,,4.4598,9.00E+00,0.00006282
,,,,,,,,,,,,4.9602,1.90E+01,0.00013262
,,,,,,,,,,,,5.46,2.10E+01,0.00014658
,,,,,,,,,,,,5.9598,1.73E+01,0.000120754
,,,,,,,,,,,,6.4602,1.27E+01,0.000088646
,,,,,,,,,,,,6.96,1.07E+01,0.000074686
,,,,,,,,,,,,7.4598,1.83E+01,0.000127734
,,,,,,,,,,,,7.9602,1.50E+01,0.0001047
,,,,,,,,,,,,8.46,1.70E+01,0.00011866
,,,,,,,,,,,,8.9598,2.07E+01,0.000144486
,,,,,,,,,,,,9.4602,1.07E+01,0.000074686
,,,,,,,,,,,,9.96,8.67E+00,6.05166E-05
,,,,,,,,,,,,10.4598,1.10E+01,0.00007678
,,,,,,,,,,,,10.9602,1.63E+01,0.000113774
,,,,,,,,,,,,11.46,1.23E+01,0.000085854
,,,,,,,,,,,,11.9598,2.00E+01,0.0001396
,,,,,,,,,,,,12.4602,2.23E+01,0.000155654
,,,,,,,,,,,,12.96,1.03E+01,0.000071894
,,,,,,,,,,,,13.4598,1.17E+01,0.000081666
,,,,,,,,,,,,13.9602,1.30E+01,0.00009074
,,,,,,,,,,,,14.46,1.83E+01,0.000127734
,,,,,,,,,,,,14.9598,2.40E+01,0.00016752
,,,,,,,,,,,,15.4602,1.63E+01,0.000113774
,,,,,,,,,,,,15.96,9.67E+00,6.74966E-05
,,,,,,,,,,,,16.4598,1.03E+01,0.000071894
,,,,,,,,,,,,16.9602,8.00E+00,0.00005584
,,,,,,,,,,,,17.46,1.43E+01,0.000099814
,,,,,,,,,,,,17.9598,1.73E+01,0.000120754
,,,,,,,,,,,,18.4602,1.23E+01,0.000085854
,,,,,,,,,,,,18.96,1.07E+01,0.000074686
,,,,,,,,,,,,19.4598,9.33E+00,6.51234E-05
,,,,,,,,,,,,19.9602,1.90E+01,0.00013262
,,,,,,,,,,,,20.46,2.07E+01,0.000144486
,,,,,,,,,,,,20.9598,1.37E+01,0.000095626
,,,,,,,,,,,,21.4602,1.67E+01,0.000116566
,,,,,,,,,,,,21.96,1.00E+01,0.0000698
,,,,,,,,,,,,22.4598,8.67E+00,6.05166E-05
,,,,,,,,,,,,22.9602,8.33E+00,5.81434E-05
,,,,,,,,,,,,23.46,11.66666667,8.14333E-05
,,,,,,,,,,,,23.9598,9.67E+00,6.74966E-05
,,,,,,,,,,,,24.4602,1.70E+01,0.00011866
,,,,,,,,,,,,24.96,18.33333333,0.000127967
,,,,,,,,,,,,25.4598,14.66666667,0.000102373
,,,,,,,,,,,,25.9602,21.33333333,0.000148907
,,,,,,,,,,,,26.46,23.33333333,0.000162867
,,,,,,,,,,,,26.9598,18.33333333,0.000127967
,,,,,,,,,,,,27.4602,19,0.00013262
,,,,,,,,,,,,27.96,21,0.00014658
,,,,,,,,,,,,28.4598,25.33333333,0.000176827
,,,,,,,,,,,,28.9602,15,0.0001047
,,,,,,,,,,,,29.46,15.66666667,0.000109353
,,,,,,,,,,,,29.9598,15.33333333,0.000107027
,,,,,,,,,,,,30.4602,20,0.0001396
,,,,,,,,,,,,30.96,20,0.0001396
,,,,,,,,,,,,31.4598,13.66666667,9.53933E-05
,,,,,,,,,,,,31.9602,9.333333333,6.51467E-05
,,,,,,,,,,,,32.46,16.66666667,0.000116333
,,,,,,,,,,,,32.9598,14.66666667,0.000102373
,,,,,,,,,,,,33.4602,16.33333333,0.000114007
,,,,,,,,,,,,33.96,14.33333333,0.000100047
,,,,,,,,,,,,34.4598,15.33333333,0.000107027
,,,,,,,,,,,,34.9602,10,0.0000698
,,,,,,,,,,,,35.46,11.33333333,7.91067E-05
,,,,,,,,,,,,35.9598,12.66666667,8.84133E-05
,,,,,,,,,,,,36.4602,13,0.00009074
,,,,,,,,,,,,36.96,6.666666667,4.65333E-05
,,,,,,,,,,,,37.4598,7,0.00004886
,,,,,,,,,,,,37.9602,14.66666667,0.000102373
,,,,,,,,,,,,38.46,10.66666667,7.44533E-05
,,,,,,,,,,,,38.9598,11.66666667,8.14333E-05
,,,,,,,,,,,,39.4602,9.666666667,6.74733E-05
,,,,,,,,,,,,39.96,16,0.00011168
,,,,,,,,,,,,40.4598,8.666666667,6.04933E-05
,,,,,,,,,,,,40.9602,0,0
,,,,,,,,,,,,41.46,1.666666667,1.16333E-05
,,,,,,,,,,,,41.9598,15,0.0001047
,,,,,,,,,,,,42.4602,20.66666667,0.000144253
,,,,,,,,,,,,42.96,19,0.00013262
,,,,,,,,,,,,43.4598,13,0.00009074
,,,,,,,,,,,,43.9602,21.33333333,0.000148907
,,,,,,,,,,,,44.46,18,0.00012564
,,,,,,,,,,,,44.9598,14.33333333,0.000100047
,,,,,,,,,,,,45.4602,12,0.00008376
,,,,,,,,,,,,45.96,19.66666667,0.000137273
,,,,,,,,,,,,46.4598,27.66666667,0.000193113
,,,,,,,,,,,,46.9602,32,0.00022336
,,,,,,,,,,,,47.46,32.33333333,0.000225687
,,,,,,,,,,,,47.9598,23,0.00016054
,,,,,,,,,,,,48.4602,15,0.0001047
,,,,,,,,,,,,48.96,10.33333333,7.21267E-05
,,,,,,,,,,,,49.4598,21.33333333,0.000148907
,,,,,,,,,,,,49.9602,21.66666667,0.000151233
,,,,,,,,,,,,50.46,15.66666667,0.000109353
,,,,,,,,,,,,50.9598,14.33333333,0.000100047
,,,,,,,,,,,,51.4602,18.33333333,0.000127967
,,,,,,,,,,,,51.96,23.66666667,0.000165193
,,,,,,,,,,,,52.4598,22,0.00015356
,,,,,,,,,,,,52.9602,21.66666667,0.000151233
,,,,,,,,,,,,53.46,26,0.00018148
,,,,,,,,,,,,53.9598,36.66666667,0.000255933
,,,,,,,,,,,,54.4602,32,0.00022336
,,,,,,,,,,,,54.96,25,0.0001745
,,,,,,,,,,,,55.4598,24,0.00016752
,,,,,,,,,,,,55.9602,16.66666667,0.000116333
,,,,,,,,,,,,56.46,7.333333333,5.11867E-05
,,,,,,,,,,,,56.9598,2.333333333,1.62867E-05
,,,,,,,,,,,,57.4602,4.666666667,3.25733E-05
,,,,,,,,,,,,57.96,14.33333333,0.000100047
,,,,,,,,,,,,58.4598,17,0.00011866
,,,,,,,,,,,,58.9602,21.66666667,0.000151233
,,,,,,,,,,,,59.46,23.33333333,0.000162867
,,,,,,,,,,,,59.9598,16,0.00011168
,,,,,,,,,,,,60.4602,15.33333333,0.000107027
,,,,,,,,,,,,60.96,21.33333333,0.000148907
,,,,,,,,,,,,61.4598,23,0.00016054
,,,,,,,,,,,,61.9602,21.66666667,0.000151233
,,,,,,,,,,,,62.46,21.33333333,0.000148907
,,,,,,,,,,,,62.9598,23.66666667,0.000165193
,,,,,,,,,,,,63.4602,19.66666667,0.000137273
,,,,,,,,,,,,63.96,18.66666667,0.000130293
,,,,,,,,,,,,64.4598,18,0.00012564
,,,,,,,,,,,,64.9602,19.33333333,0.000134947
,,,,,,,,,,,,65.46,29.33333333,0.000204747
,,,,,,,,,,,,65.9598,26,0.00018148
,,,,,,,,,,,,66.4602,18.33333333,0.000127967
,,,,,,,,,,,,66.96,7,0.00004886
,,,,,,,,,,,,67.4598,5.666666667,3.95533E-05
,,,,,,,,,,,,67.9602,13.66666667,9.53933E-05
,,,,,,,,,,,,68.46,14.66666667,0.000102373
,,,,,,,,,,,,68.9598,7.333333333,5.11867E-05
,,,,,,,,,,,,69.4602,12,0.00008376
,,,,,,,,,,,,69.96,6.666666667,4.65333E-05
,,,,,,,,,,,,70.4598,6.666666667,4.65333E-05
,,,,,,,,,,,,70.9602,10.33333333,7.21267E-05
,,,,,,,,,,,,71.46,9.333333333,6.51467E-05
,,,,,,,,,,,,71.9598,6.333333333,4.42067E-05
,,,,,,,,,,,,72.4602,9,0.00006282
,,,,,,,,,,,,72.96,3,0.00002094
,,,,,,,,,,,,73.4598,6.333333333,4.42067E-05
,,,,,,,,,,,,73.9602,11.33333333,7.91067E-05
,,,,,,,,,,,,74.46,9.666666667,6.74733E-05
,,,,,,,,,,,,74.9598,6.666666667,4.65333E-05
,,,,,,,,,,,,75.4602,7.666666667,5.35133E-05
,,,,,,,,,,,,75.96,12,0.00008376
,,,,,,,,,,,,76.4598,13,0.00009074
,,,,,,,,,,,,76.9602,10.33333333,7.21267E-05
,,,,,,,,,,,,77.46,4.333333333,3.02467E-05
,,,,,,,,,,,,77.9598,10,0.0000698
,,,,,,,,,,,,78.4602,13.66666667,9.53933E-05
,,,,,,,,,,,,78.96,9.666666667,6.74733E-05
,,,,,,,,,,,,79.4598,6.666666667,4.65333E-05
,,,,,,,,,,,,79.9602,2.333333333,1.62867E-05
,,,,,,,,,,,,80.46,6.666666667,4.65333E-05
,,,,,,,,,,,,80.9598,11.33333333,7.91067E-05
,,,,,,,,,,,,81.4602,11,0.00007678
,,,,,,,,,,,,81.96,11.66666667,8.14333E-05
,,,,,,,,,,,,82.4598,16,0.00011168
,,,,,,,,,,,,82.9602,7,0.00004886
,,,,,,,,,,,,83.46,3.666666667,2.55933E-05
,,,,,,,,,,,,83.9598,6,0.00004188
,,,,,,,,,,,,84.4602,5,0.0000349
,,,,,,,,,,,,84.96,2.333333333,1.62867E-05
,,,,,,,,,,,,85.4598,0,0
,,,,,,,,,,,,85.9602,0,0
,,,,,,,,,,,,86.46,3.333333333,2.32667E-05
,,,,,,,,,,,,86.9598,20.66666667,0.000144253
,,,,,,,,,,,,87.4602,20.33333333,0.000141927
,,,,,,,,,,,,87.96,9.666666667,6.74733E-05
,,,,,,,,,,,,88.4598,11,0.00007678
,,,,,,,,,,,,88.9602,22.66666667,0.000158213
,,,,,,,,,,,,89.46,22.66666667,0.000158213
,,,,,,,,,,,,89.9598,17.66666667,0.000123313
,,,,,,,,,,,,90.4602,10.33333333,7.21267E-05
,,,,,,,,,,,,90.96,11.33333333,7.91067E-05
,,,,,,,,,,,,91.4598,11.33333333,7.91067E-05
,,,,,,,,,,,,91.9602,0.333333333,2.32667E-06
,,,,,,,,,,,,92.46,5,0.0000349
,,,,,,,,,,,,92.9598,10.33333333,7.21267E-05
,,,,,,,,,,,,93.4602,11.33333333,7.91067E-05
,,,,,,,,,,,,93.96,13,0.00009074
,,,,,,,,,,,,94.4598,13.33333333,9.30667E-05
,,,,,,,,,,,,94.9602,11.66666667,8.14333E-05
