Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],Hint[-],kint[1/s],Kint[1/s],ObsSigma[mV],magnification,t[s],I[mV],C[g/L]
0.25,0.01,1,0.397,0,250,100,0.530002133,0.08218132,0.02626444,53.9480196,7.11E-06,0,0,0
,,,,,,,,,,,,0.4602,1.27E+01,0.000090297
,,,,,,,,,,,,0.96,1.73E+01,0.000123003
,,,,,,,,,,,,1.4598,1.03E+01,0.000073233
,,,,,,,,,,,,1.9602,6.33E+00,4.50063E-05
,,,,,,,,,,,,2.46,9.67E+00,6.87537E-05
,,,,,,,,,,,,2.9598,1.23E+01,0.000087453
,,,,,,,,,,,,3.4602,9.67E+00,6.87537E-05
,,,,,,,,,,,,3.96,1.37E+01,0.000097407
,,,,,,,,,,,,4.4598,1.30E+01,0.00009243
,,,,,,,,,,,,4.9602,1.63E+01,0.000115893
,,,,,,,,,,,,5.46,2.00E+01,0.0001422
,,,,,,,,,,,,5.9598,1.57E+01,0.000111627
,,,,,,,,,,,,6.4602,1.03E+01,0.000073233
,,,,,,,,,,,,6.96,7.67E+00,5.45337E-05
,,,,,,,,,,,,7.4598,9.33E+00,6.63363E-05
,,,,,,,,,,,,7.9602,5.33E+00,3.78963E-05
,,,,,,,,,,,,8.46,4.00E+00,0.00002844
,,,,,,,,,,,,8.9598,2.00E+00,0.00001422
,,,,,,,,,,,,9.4602,4.00E+00,0.00002844
,,,,,,,,,,,,9.96,8.33E+00,5.92263E-05
,,,,,,,,,,,,10.4598,5.33E+00,3.78963E-05
,,,,,,,,,,,,10.9602,9.00E+00,0.00006399
,,,,,,,,,,,,11.46,5.33E+00,3.78963E-05
,,,,,,,,,,,,11.9598,1.67E+00,1.18737E-05
,,,,,,,,,,,,12.4602,1.00E+00,0.00000711
,,,,,,,,,,,,12.96,3.33E+00,2.36763E-05
,,,,,,,,,,,,13.4598,6.00E+00,0.00004266
,,,,,,,,,,,,13.9602,6.00E+00,0.00004266
,,,,,,,,,,,,14.46,2.00E+00,0.00001422
,,,,,,,,,,,,14.9598,1.33E+00,9.4563E-06
,,,,,,,,,,,,15.4602,0.00E+00,0
,,,,,,,,,,,,15.96,0.00E+00,0
,,,,,,,,,,,,16.4598,0.00E+00,0
,,,,,,,,,,,,16.9602,0.00E+00,0
,,,,,,,,,,,,17.46,2.00E+00,0.00001422
,,,,,,,,,,,,17.9598,4.00E+00,0.00002844
,,,,,,,,,,,,18.4602,9.00E+00,0.00006399
,,,,,,,,,,,,18.96,6.33E+00,4.50063E-05
,,,,,,,,,,,,19.4598,7.33E+00,5.21163E-05
,,,,,,,,,,,,19.9602,1.27E+01,0.000090297
,,,,,,,,,,,,20.46,8.33E+00,5.92263E-05
,,,,,,,,,,,,20.9598,1.03E+01,0.000073233
,,,,,,,,,,,,21.4602,2.33E+00,1.65663E-05
,,,,,,,,,,,,21.96,3.33E+00,2.36763E-05
,,,,,,,,,,,,22.4598,1.33E+00,9.4563E-06
,,,,,,,,,,,,22.9602,7.33E+00,5.21163E-05
,,,,,,,,,,,,23.46,6.00E+00,0.00004266
,,,,,,,,,,,,23.9598,7.33E+00,5.21163E-05
,,,,,,,,,,,,24.4602,5.00E+00,0.00003555
,,,,,,,,,,,,24.96,3.33E-01,2.36763E-06
,,,,,,,,,,,,25.4598,1.67E+00,1.18737E-05
,,,,,,,,,,,,25.9602,3.33E-01,2.36763E-06
,,,,,,,,,,,,26.46,1.33E+00,9.4563E-06
,,,,,,,,,,,,26.9598,0.00E+00,0
,,,,,,,,,,,,27.4602,0.00E+00,0
,,,,,,,,,,,,27.96,0.00E+00,0
,,,,,,,,,,,,28.4598,0.00E+00,0
,,,,,,,,,,,,28.9602,0.00E+00,0
,,,,,,,,,,,,29.46,0.00E+00,0
,,,,,,,,,,,,29.9598,0.00E+00,0
,,,,,,,,,,,,30.4602,0.00E+00,0
,,,,,,,,,,,,30.96,0.00E+00,0
,,,,,,,,,,,,31.4598,0.00E+00,0
,,,,,,,,,,,,31.9602,1.67E+00,1.18737E-05
,,,,,,,,,,,,32.46,8.00E+00,0.00005688
,,,,,,,,,,,,32.9598,0.00E+00,0
,,,,,,,,,,,,33.4602,0.00E+00,0
,,,,,,,,,,,,33.96,0.00E+00,0
,,,,,,,,,,,,34.4598,0.00E+00,0
,,,,,,,,,,,,34.9602,0.00E+00,0
,,,,,,,,,,,,35.46,0.00E+00,0
,,,,,,,,,,,,35.9598,0.00E+00,0
,,,,,,,,,,,,36.4602,1.00E+00,0.00000711
,,,,,,,,,,,,36.96,0.00E+00,0
,,,,,,,,,,,,37.4598,6.67E-01,4.74237E-06
,,,,,,,,,,,,37.9602,2.00E+00,0.00001422
,,,,,,,,,,,,38.46,4.00E+00,0.00002844
,,,,,,,,,,,,38.9598,4.67E+00,3.32037E-05
,,,,,,,,,,,,39.4602,4.00E+00,0.00002844
,,,,,,,,,,,,39.96,6.33E+00,4.50063E-05
,,,,,,,,,,,,40.4598,3.33E+00,2.36763E-05
,,,,,,,,,,,,40.9602,1.33E+00,9.4563E-06
,,,,,,,,,,,,41.46,3.33E-01,2.36763E-06
,,,,,,,,,,,,41.9598,5.67E+00,4.03137E-05
,,,,,,,,,,,,42.4602,3.00E+00,0.00002133
