Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],t[s],tmeasured[s],Ca[g/L],Cb[g/L]
0.25,0.01,1,0.397,250,250,20000,0,50,0,0
,,,,,,,25,75,0,0
,,,,,,,50,100,0,0
,,,,,,,75,125,0,0
,,,,,,,100,150,0,0
,,,,,,,125,175,0,0
,,,,,,,150,200,0,0
,,,,,,,175,225,0,0
,,,,,,,200,250,0,0
,,,,,,,225,275,0,0
,,,,,,,250,300,0,0
,,,,,,,275,325,0,0
,,,,,,,300,350,0,0
,,,,,,,325,375,0,0
,,,,,,,350,400,0,0
,,,,,,,375,425,0,0
,,,,,,,400,450,0,0
,,,,,,,425,475,0,0
,,,,,,,450,500,0,0
,,,,,,,475,525,0,0
,,,,,,,500,550,0,0
,,,,,,,525,575,0.1,0
,,,,,,,550,600,0.2,0
,,,,,,,575,625,1.2,0
,,,,,,,600,650,4.4,0
,,,,,,,625,675,12.6,0
,,,,,,,650,700,22.7,0.4
,,,,,,,675,725,51,1.6
,,,,,,,700,750,79.3,4.1
,,,,,,,725,775,107,8.8
,,,,,,,750,800,137.4,17
,,,,,,,775,825,162.8,29.3
,,,,,,,800,850,184.1,44.6
,,,,,,,825,875,206.7,64.1
,,,,,,,850,900,220.7,84.2
,,,,,,,875,925,232.9,105.1
,,,,,,,900,950,239.3,124.5
,,,,,,,925,975,246.6,143.8
,,,,,,,950,1000,250.2,160.5
,,,,,,,975,1025,250,172.8
,,,,,,,1000,1050,250.5,184
,,,,,,,1025,1075,260.1,201.7
,,,,,,,1050,1100,260.7,218
,,,,,,,1075,1125,257.2,215.9
,,,,,,,1100,1150,253.5,219.5
,,,,,,,1125,1175,262,231.5
,,,,,,,1150,1200,262.8,236.5
,,,,,,,1175,1225,262.5,240.8
,,,,,,,1200,1250,257.8,240.1
,,,,,,,1225,1275,262.7,248.1
,,,,,,,1250,1300,257.4,245.1
,,,,,,,1275,1325,256.7,247.3
,,,,,,,1300,1350,258.5,249.7
,,,,,,,1325,1375,256.4,249.3
,,,,,,,1350,1400,260.4,254.3
,,,,,,,1375,1425,260,255
,,,,,,,1400,1450,253.6,249.8
,,,,,,,1425,1475,258.5,257
,,,,,,,1450,1500,250.2,250.3
,,,,,,,1475,1525,251.1,254.5
