Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],t[s],tmeasured[s],C[g/L]
0.25,0.01,1,0.397,250,250,20000,0,50,0
,,,,,,,25,75,0
,,,,,,,50,100,0
,,,,,,,75,125,0
,,,,,,,100,150,0
,,,,,,,125,175,0
,,,,,,,150,200,0
,,,,,,,175,225,0
,,,,,,,200,250,0
,,,,,,,225,275,0
,,,,,,,250,300,0
,,,,,,,275,325,0
,,,,,,,300,350,0
,,,,,,,325,375,0
,,,,,,,350,400,0
,,,,,,,375,425,0
,,,,,,,400,450,0
,,,,,,,425,475,0
,,,,,,,450,500,0
,,,,,,,475,525,0
,,,,,,,500,550,0
,,,,,,,525,575,0.1
,,,,,,,550,600,0.2
,,,,,,,575,625,1.2
,,,,,,,600,650,4.4
,,,,,,,625,675,12.6
,,,,,,,650,700,23.1
,,,,,,,675,725,52.6
,,,,,,,700,750,83.4
,,,,,,,725,775,115.8
,,,,,,,750,800,154.4
,,,,,,,775,825,192.1
,,,,,,,800,850,228.7
,,,,,,,825,875,270.8
,,,,,,,850,900,304.9
,,,,,,,875,925,338
,,,,,,,900,950,363.8
,,,,,,,925,975,390.4
,,,,,,,950,1000,410.7
,,,,,,,975,1025,422.8
,,,,,,,1000,1050,434.5
,,,,,,,1025,1075,461.8
,,,,,,,1050,1100,478.7
,,,,,,,1075,1125,473.1
,,,,,,,1100,1150,473
,,,,,,,1125,1175,493.5
,,,,,,,1150,1200,499.3
,,,,,,,1175,1225,503.3
,,,,,,,1200,1250,497.9
,,,,,,,1225,1275,510.8
,,,,,,,1250,1300,502.5
,,,,,,,1275,1325,504
,,,,,,,1300,1350,508.2
,,,,,,,1325,1375,505.7
,,,,,,,1350,1400,514.7
,,,,,,,1375,1425,515
,,,,,,,1400,1450,503.4
,,,,,,,1425,1475,515.5
,,,,,,,1450,1500,500.5
,,,,,,,1475,1525,505.6
