Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],Hint[-],kint[1/s],Kint[1/s],ObsSigma,t[s],C[g/L]
0.25,0.01,1,0.397,250,0,100,0.221,0.0218,0.00291,0.005,0,0.0130834
,,,,,,,,,,,25,7.30E-03
,,,,,,,,,,,50,4.73E-02
,,,,,,,,,,,75,-8.18E-03
,,,,,,,,,,,100,-1.27E-02
,,,,,,,,,,,125,-7.14E-03
,,,,,,,,,,,150,3.48E-03
,,,,,,,,,,,175,-3.66E-02
,,,,,,,,,,,200,1.55E-02
,,,,,,,,,,,225,-2.04E-02
,,,,,,,,,,,250,9.01E-03
,,,,,,,,,,,275,-5.74E-02
,,,,,,,,,,,300,7.05E-03
,,,,,,,,,,,325,4.22E-02
,,,,,,,,,,,350,-4.98E-03
,,,,,,,,,,,375,1.03E-02
,,,,,,,,,,,400,2.34E-02
,,,,,,,,,,,425,1.59E-02
,,,,,,,,,,,450,1.68E-01
,,,,,,,,,,,475,8.34E-01
,,,,,,,,,,,500,2.04E+00
,,,,,,,,,,,525,3.03E+00
,,,,,,,,,,,550,3.84E+00
,,,,,,,,,,,575,4.56E+00
,,,,,,,,,,,600,4.88E+00
,,,,,,,,,,,625,5.03E+00
,,,,,,,,,,,650,4.90E+00
,,,,,,,,,,,675,4.62E+00
,,,,,,,,,,,700,4.29E+00
,,,,,,,,,,,725,3.81E+00
,,,,,,,,,,,750,3.32E+00
,,,,,,,,,,,775,2.83E+00
,,,,,,,,,,,800,2.42E+00
,,,,,,,,,,,825,2.02E+00
,,,,,,,,,,,850,1.62E+00
,,,,,,,,,,,875,1.27E+00
,,,,,,,,,,,900,1.05E+00
,,,,,,,,,,,925,7.95E-01
,,,,,,,,,,,950,6.59E-01
,,,,,,,,,,,975,5.17E-01
,,,,,,,,,,,1000,3.57E-01
,,,,,,,,,,,1025,3.23E-01
,,,,,,,,,,,1050,2.40E-01
,,,,,,,,,,,1075,1.75E-01
,,,,,,,,,,,1100,1.64E-01
,,,,,,,,,,,1125,5.04E-02
,,,,,,,,,,,1150,4.54E-02
,,,,,,,,,,,1175,3.23E-02
,,,,,,,,,,,1200,1.73E-03
,,,,,,,,,,,1225,6.00E-02
,,,,,,,,,,,1250,1.35E-02
,,,,,,,,,,,1275,1.30E-02
,,,,,,,,,,,1300,3.52E-02
,,,,,,,,,,,1325,3.46E-02
,,,,,,,,,,,1350,1.64E-02
,,,,,,,,,,,1375,5.81E-03
,,,,,,,,,,,1400,3.15E-02
,,,,,,,,,,,1425,3.46E-03
,,,,,,,,,,,1450,-2.57E-03
,,,,,,,,,,,1475,-1.20E-02
,,,,,,,,,,,1500,-2.57E-02
,,,,,,,,,,,1525,-4.64E-03
,,,,,,,,,,,1550,-3.00E-02
,,,,,,,,,,,1575,-4.18E-02
,,,,,,,,,,,1600,5.54E-04
,,,,,,,,,,,1625,2.59E-02
,,,,,,,,,,,1650,-3.59E-04
,,,,,,,,,,,1675,1.30E-02
,,,,,,,,,,,1700,-3.83E-02
,,,,,,,,,,,1725,-9.14E-03
,,,,,,,,,,,1750,1.17E-02
,,,,,,,,,,,1775,-1.02E-02
,,,,,,,,,,,1800,2.67E-02
,,,,,,,,,,,1825,5.53E-02
,,,,,,,,,,,1850,4.31E-02
,,,,,,,,,,,1875,-4.82E-03
,,,,,,,,,,,1900,-4.25E-02
,,,,,,,,,,,1925,2.05E-02
,,,,,,,,,,,1950,-4.90E-03
,,,,,,,,,,,1975,2.87E-02
,,,,,,,,,,,2000,1.53E-02
,,,,,,,,,,,2025,1.26E-02
,,,,,,,,,,,2050,-4.29E-02
,,,,,,,,,,,2075,-4.18E-02
,,,,,,,,,,,2100,-2.12E-02
,,,,,,,,,,,2125,-8.63E-04
,,,,,,,,,,,2150,1.62E-02
,,,,,,,,,,,2175,9.72E-03
,,,,,,,,,,,2200,5.23E-03
,,,,,,,,,,,2225,-2.83E-02
,,,,,,,,,,,2250,-1.53E-03
,,,,,,,,,,,2275,4.51E-02
,,,,,,,,,,,2300,-1.61E-02
,,,,,,,,,,,2325,-1.10E-02
,,,,,,,,,,,2350,7.34E-03
,,,,,,,,,,,2375,-5.85E-03
,,,,,,,,,,,2400,-1.37E-02
,,,,,,,,,,,2425,4.13E-02
,,,,,,,,,,,2450,3.46E-03
,,,,,,,,,,,2475,-4.42E-02
