Z[m],d[m],Q[mL/min],e[-],CA0[g/L],CB0[g/L],Vinject[uL],Hint[-],kint[1/s],Kint[1/s],ObsSigma,t[s],C[g/L]
0.25,0.01,1,0.397,0,250,100,0.454,0.0241,0.00659,0.005,0,0.0278043
,,,,,,,,,,,25,-6.66E-03
,,,,,,,,,,,50,-3.28E-03
,,,,,,,,,,,75,-8.20E-03
,,,,,,,,,,,100,1.50E-03
,,,,,,,,,,,125,-1.28E-02
,,,,,,,,,,,150,3.07E-02
,,,,,,,,,,,175,-6.36E-03
,,,,,,,,,,,200,-1.42E-02
,,,,,,,,,,,225,2.28E-02
,,,,,,,,,,,250,-4.58E-03
,,,,,,,,,,,275,2.79E-02
,,,,,,,,,,,300,-2.95E-03
,,,,,,,,,,,325,-5.73E-03
,,,,,,,,,,,350,-1.17E-02
,,,,,,,,,,,375,1.94E-03
,,,,,,,,,,,400,-2.19E-02
,,,,,,,,,,,425,-1.77E-02
,,,,,,,,,,,450,1.96E-02
,,,,,,,,,,,475,4.63E-02
,,,,,,,,,,,500,1.36E-01
,,,,,,,,,,,525,3.28E-01
,,,,,,,,,,,550,6.11E-01
,,,,,,,,,,,575,9.60E-01
,,,,,,,,,,,600,1.38E+00
,,,,,,,,,,,625,1.84E+00
,,,,,,,,,,,650,2.29E+00
,,,,,,,,,,,675,2.72E+00
,,,,,,,,,,,700,3.06E+00
,,,,,,,,,,,725,3.32E+00
,,,,,,,,,,,750,3.53E+00
,,,,,,,,,,,775,3.61E+00
,,,,,,,,,,,800,3.62E+00
,,,,,,,,,,,825,3.56E+00
,,,,,,,,,,,850,3.44E+00
,,,,,,,,,,,875,3.23E+00
,,,,,,,,,,,900,3.00E+00
,,,,,,,,,,,925,2.73E+00
,,,,,,,,,,,950,2.49E+00
,,,,,,,,,,,975,2.21E+00
,,,,,,,,,,,1000,1.91E+00
,,,,,,,,,,,1025,1.65E+00
,,,,,,,,,,,1050,1.46E+00
,,,,,,,,,,,1075,1.23E+00
,,,,,,,,,,,1100,1.04E+00
,,,,,,,,,,,1125,8.69E-01
,,,,,,,,,,,1150,6.84E-01
,,,,,,,,,,,1175,6.07E-01
,,,,,,,,,,,1200,4.77E-01
,,,,,,,,,,,1225,3.73E-01
,,,,,,,,,,,1250,3.22E-01
,,,,,,,,,,,1275,2.29E-01
,,,,,,,,,,,1300,2.10E-01
,,,,,,,,,,,1325,1.74E-01
,,,,,,,,,,,1350,1.17E-01
,,,,,,,,,,,1375,1.02E-01
,,,,,,,,,,,1400,5.83E-02
,,,,,,,,,,,1425,4.94E-02
,,,,,,,,,,,1450,7.54E-02
,,,,,,,,,,,1475,2.67E-02
,,,,,,,,,,,1500,-1.14E-02
,,,,,,,,,,,1525,2.32E-02
,,,,,,,,,,,1550,3.44E-02
,,,,,,,,,,,1575,2.81E-02
,,,,,,,,,,,1600,5.22E-03
,,,,,,,,,,,1625,-1.53E-02
,,,,,,,,,,,1650,-8.41E-03
,,,,,,,,,,,1675,-9.42E-03
,,,,,,,,,,,1700,2.88E-02
,,,,,,,,,,,1725,1.94E-02
,,,,,,,,,,,1750,2.83E-02
,,,,,,,,,,,1775,1.71E-02
,,,,,,,,,,,1800,2.58E-02
,,,,,,,,,,,1825,-6.02E-03
,,,,,,,,,,,1850,1.70E-02
,,,,,,,,,,,1875,-1.22E-02
,,,,,,,,,,,1900,-2.38E-02
,,,,,,,,,,,1925,-1.93E-02
,,,,,,,,,,,1950,1.65E-02
,,,,,,,,,,,1975,1.74E-03
,,,,,,,,,,,2000,1.81E-03
,,,,,,,,,,,2025,-2.08E-02
,,,,,,,,,,,2050,4.30E-04
,,,,,,,,,,,2075,-2.80E-03
,,,,,,,,,,,2100,-8.74E-03
,,,,,,,,,,,2125,-1.16E-02
,,,,,,,,,,,2150,-1.82E-02
,,,,,,,,,,,2175,-3.21E-02
,,,,,,,,,,,2200,-1.20E-02
,,,,,,,,,,,2225,-2.23E-03
,,,,,,,,,,,2250,-1.73E-02
,,,,,,,,,,,2275,-2.80E-02
,,,,,,,,,,,2300,-2.19E-02
,,,,,,,,,,,2325,1.46E-02
,,,,,,,,,,,2350,-6.87E-03
,,,,,,,,,,,2375,-2.10E-02
,,,,,,,,,,,2400,-4.17E-02
,,,,,,,,,,,2425,3.54E-02
,,,,,,,,,,,2450,-4.36E-03
,,,,,,,,,,,2475,-2.29E-04
